,tpm
AC004771.5,5.60419
AC004775.1,0.058585
AC004777.1,0
AC004784.1,0.1251784
AC004789.1,0
AC004790.1,0
AC004790.2,0
AC004792.1,0
AC004801.1,0.0903173
AC004801.2,1.2914527
AC004801.3,0
AC004801.4,0.091057
AC004801.5,0
AC004801.6,1.15832
AC004801.7,0
AC004803.1,2.22959
AC004805.1,0
AC004805.2,0.110487
AC004805.3,0.239144
AC004808.1,0
AC004808.2,0
AC004812.1,0
AC004812.2,2.2447
AC004816.1,5.96658
AC004816.2,0.142445
AC004817.1,1.58186
AC004817.2,0
AC004817.3,0.541912
AC004817.4,0.643478
AC004824.1,0
AC004824.2,0
AC004825.1,0.0412464
AC004825.2,0.605166
AC004828.1,0.636787
AC004830.1,0.0865247
AC004832.1,0.0611197
AC004832.2,0
AC004832.3,0.932372
AC004832.4,0.844418
AC004832.5,1.41837
AC004832.6,0.448254
AC004834.1,1.267639
AC004835.1,0.566342
AC004835.2,0
AC004836.1,0
AC004837.1,0
AC004837.2,0.852784
AC004837.3,0
AC004839.1,0.130117
AC004839.2,0.130117
AC004840.1,0.0880436
AC004840.2,0
AC004846.1,0.437551
AC004846.2,0.842682
AC004847.1,26.377
AC004852.1,0
AC004852.2,0.111214223
AC004852.3,0
AC004852.4,0
AC004852.5,0
AC004852.6,0
AC004853.1,0
AC004853.2,0
AC004854.1,0.191164
AC004854.2,0.0284281
AC004858.1,0
AC004862.1,0.0551139
AC004865.1,0.0204226
AC004865.2,0.411959
AC004866.1,0
AC004866.2,0
AC004869.1,0
AC004869.2,0
AC004870.1,0
AC004870.2,0.1369368
AC004870.3,0.526531
AC004870.4,0.285557
AC004872.1,0
AC004875.1,0
AC004877.1,0
AC004877.2,0
AC004882.1,0.2030368
AC004882.2,0
AC004884.1,0
AC004884.2,0.228601
AC004888.1,0.0911929
AC004889.1,3.6529837
AC004890.1,1.59763
AC004890.2,31.521175
AC004890.3,0.808501
AC004893.1,0.332892
AC004893.2,0
AC004895.1,0.3377235
AC004898.1,0.203559
AC004899.1,0
AC004899.2,0
AC004900.1,0
AC004906.1,0.131906
AC004908.1,8.48837
AC004908.2,5.08222
AC004908.3,0.866243
AC004910.1,0.291075
AC004911.1,0
AC004917.1,6.140352
AC004918.1,2.69439
AC004918.2,2.69439
AC004918.3,16.7571
AC004920.1,0
AC004921.1,0.0304018
AC004922.1,2.157744
AC004923.1,0
AC004923.2,0
AC004923.3,0
AC004923.4,0.210159
AC004925.1,0
AC004930.1,0
AC004936.1,0
AC004938.1,0
AC004941.1,0.123113
AC004941.2,0
AC004943.1,0.702148
AC004943.2,2.39198
AC004943.3,0.039887
AC004944.1,0.0175539
AC004945.1,0
AC004946.1,0
AC004947.1,0
AC004947.2,0
AC004948.1,0.136358
AC004949.1,0.0458823
AC004951.1,1.91071
AC004951.2,0.515763
AC004951.3,0.901018
AC004951.4,0.63354
AC004965.1,0
AC004967.1,4.79552
AC004967.2,0
AC004969.1,1.66024
AC004972.1,0
AC004973.1,0.286026
AC004974.1,0
AC004975.1,3.95243
AC004975.2,0
AC004980.1,2.771985
AC004980.2,0.253965
AC004980.3,7.74937
AC004980.4,1.51318
AC004980.5,3.610961
AC004980.6,0.253965
AC004980.7,0
AC004982.1,0.125522
AC004982.2,0.457488
AC004986.1,0
AC004987.1,0
AC004987.2,0.0426718
AC004987.3,0
AC004987.4,1.62848
AC004988.1,0.0793012
AC004990.1,0.267518
AC004994.1,0
AC004997.1,0.293818
AC005000.1,0.163993
AC005000.2,0
AC005002.1,0
AC005002.2,0
AC005005.1,0
AC005005.2,0
AC005005.3,1.02437
AC005005.4,0.354776
AC005006.1,0.972239
AC005008.1,0
AC005008.2,0
AC005009.1,0
AC005009.2,0.0469777
AC005011.1,0
AC005013.1,0
AC005014.1,0.0301605
AC005014.2,0.0399816
AC005014.3,1.75566
AC005019.1,0
AC005019.2,0
AC005020.1,0
AC005020.2,0.226212
AC005021.1,1.71787
AC005033.1,0
AC005034.1,0
AC005034.2,1.62611
AC005034.3,8.87309
AC005034.4,0.103032
AC005034.5,2.3682
AC005037.1,0.512718
AC005040.1,0
AC005041.1,0.305074
AC005041.2,0
AC005041.3,0.715042
AC005042.1,0.108326
AC005042.2,0
AC005042.3,0
AC005046.1,0.742125
AC005050.1,0.135689
AC005052.1,0
AC005062.1,1.6533614
AC005064.1,0.0761026
AC005066.1,0
AC005070.1,0.176087
AC005070.2,0
AC005070.3,0.879079
AC005072.1,0.114919
AC005076.1,1.157718
AC005077.1,0
AC005077.2,0.197848
AC005077.3,0
AC005077.4,0.259198
AC005082.1,0.0727046
AC005082.2,0
AC005083.1,8.92625
AC005084.1,0
AC005086.1,0
AC005086.2,0.685409
AC005086.3,0.84655
AC005086.4,5.81692
AC005088.1,0
AC005089.1,0.301301
AC005090.1,0
AC005091.1,0.0999487
AC005094.1,0.086778
AC005096.1,0
AC005099.1,0.936524
AC005100.1,0
AC005102.1,0
AC005104.1,2.85732
AC005104.2,0.134724
AC005105.1,0.137169
AC005144.1,0.128316
AC005150.1,0
AC005154.1,0.576654
AC005154.2,2.95355
AC005154.3,0.0407335
AC005154.4,3.21079
AC005154.5,0.115587
AC005156.1,0.0426012
AC005160.1,0
AC005162.1,0
AC005162.2,0
AC005162.3,0.00481781
AC005165.1,0.0409493
AC005165.2,0
AC005176.1,0.182872
AC005176.2,0
AC005178.1,0
AC005180.1,0.370312
AC005180.2,0.394883
AC005181.1,0.0156323
AC005183.1,0.0467946
AC005183.2,0
AC005185.1,0
AC005186.1,0.1779206
AC005189.1,0
AC005191.1,0
AC005197.1,0.268927
AC005208.1,0
AC005209.1,0.274977
AC005220.1,14.1723
AC005224.1,0.46101
AC005224.2,0
AC005224.3,0.402228
AC005225.1,0.155379
AC005225.2,0.4006343
AC005225.3,0.591783
AC005225.4,0
AC005229.1,0
AC005229.2,0
AC005229.3,0
AC005229.4,0.734243
AC005230.1,0.282699
AC005232.1,0.152352
AC005234.1,0
AC005237.1,0
AC005237.2,0.751439
AC005244.1,0.605473
AC005244.2,0
AC005252.1,0
AC005252.2,0
AC005252.3,0
AC005253.1,7.5573
AC005253.2,0.0995723
AC005255.1,0
AC005256.1,0
AC005258.1,0
AC005261.1,5.13634
AC005261.2,0.627509
AC005261.3,1.94077
AC005261.4,0
AC005261.5,0
AC005262.1,0.0893812
AC005262.2,0
AC005264.1,0.240334
AC005274.1,0
AC005277.1,0
AC005277.2,0.470046
AC005280.1,0.0894988
AC005280.2,0.0368428
AC005280.3,0
AC005281.1,0.0229837
AC005288.1,24.6515
AC005291.1,0.273579
AC005291.2,0.413661
AC005293.1,0
AC005293.2,0
AC005294.1,0.145543
AC005296.1,0
AC005297.1,0
AC005297.2,0
AC005297.3,0
AC005300.1,0.0847115
AC005301.1,0.0958638
AC005303.1,0
AC005304.1,0.0733878
AC005304.2,4.36868
AC005304.3,0.252442
AC005306.1,0.541065
AC005307.1,0.0484768
AC005323.1,0
AC005323.2,0
AC005324.1,4.98754
AC005324.2,0.0704054
AC005324.3,0.0131291
AC005324.4,0.0337331
AC005324.5,0.68644
AC005324.6,0
AC005326.1,1.00455
AC005329.1,0.967717
AC005329.2,0
AC005329.3,0.694517
AC005330.1,0.0159596
AC005332.1,0.575585
AC005332.2,0.650552
AC005332.3,3.43751
AC005332.4,3.13941
AC005332.5,0.0131851
AC005332.6,0.892711
AC005332.7,1.37428
AC005336.1,0
AC005336.2,0
AC005336.3,0
AC005339.1,2.06604
AC005341.1,0
AC005342.1,1.088
AC005342.2,0
AC005342.3,0
AC005342.4,0
AC005343.1,0
AC005343.2,0
AC005344.1,0
AC005344.2,0
AC005345.1,0
AC005351.1,0
AC005355.1,0.0314214
AC005355.2,0
AC005357.1,0
AC005357.2,0.0831027
AC005358.1,0
AC005358.2,0.0318126
AC005363.1,3.17894
AC005363.2,0.802107
AC005377.1,0
AC005379.1,0.21469
AC005381.1,0.1829514
AC005383.1,0.519751
AC005387.1,1.97561
AC005387.2,1.2778
AC005391.1,0.515085
AC005392.1,0
AC005392.2,1.44163
AC005392.3,0
AC005393.1,0.518115
AC005393.2,0.518115
AC005394.1,0.0463383
AC005394.2,0.216659
AC005410.1,0
AC005410.2,0.186066
AC005412.1,0
AC005414.1,0
AC005414.2,0
AC005476.1,0
AC005476.2,0.894908
AC005479.1,0
AC005479.2,0.0660688
AC005480.1,1.043082
AC005480.2,0
AC005481.1,0
AC005482.1,0
AC005486.1,0
AC005487.1,0.034579
AC005495.1,0
AC005498.1,0
AC005498.2,0
AC005498.3,0.0541691
AC005514.1,0
AC005515.1,0.7719
AC005518.1,0.287423
AC005518.2,0
AC005519.1,2.20016
AC005520.1,0.897759
AC005520.2,2.253403
AC005520.3,0.601504
AC005520.4,0
AC005520.5,0
AC005521.1,0.0243246
AC005522.1,0
AC005523.1,0.139159
AC005523.2,12.5626
AC005524.1,0.785159
AC005529.1,0.128556
AC005531.1,0.23139
AC005532.1,0.406609
AC005532.2,0.169423
AC005534.1,1.25425
AC005534.2,0.3279
AC005537.1,4.8495772
AC005538.1,0
AC005538.2,0
AC005539.1,0
AC005540.1,0.495637
AC005544.1,0
AC005544.2,0
AC005546.1,1.39303
AC005548.1,0
AC005549.1,0
AC005550.1,0
AC005550.2,0
AC005551.1,0
AC005552.1,0
AC005559.1,0
AC005562.1,0
AC005578.1,0
AC005580.1,0
AC005586.1,7.22145
AC005586.2,0.869115
AC005587.1,0
AC005588.1,0
AC005592.1,0.0806968
AC005593.1,0
AC005597.1,0
AC005606.1,0
AC005606.2,1.9270036363
AC005609.1,0
AC005609.2,0
AC005609.3,0
AC005609.4,0
AC005609.5,0
AC005614.1,0.110084
AC005614.2,0.350665
AC005614.3,0.110084
AC005614.4,0.350665
AC005616.1,0.380281
AC005618.1,0.609565
AC005618.2,0.0418728
AC005618.3,0.122116
AC005622.1,0.012347
AC005625.1,0
AC005632.1,0
AC005632.2,0.531274
AC005632.3,0
AC005632.4,0
AC005670.1,0.383216
AC005670.2,5.5916
AC005674.1,2.62589
AC005674.2,0.501606
AC005682.1,1.38591
AC005691.1,0
AC005692.1,0
AC005692.2,0.040268
AC005692.3,0
AC005695.1,0.0552771
AC005695.2,0
AC005695.3,0.439859
AC005696.1,4.54247
AC005696.2,0
AC005696.3,0.250105
AC005696.4,0.0179865
AC005697.1,0
AC005697.2,0.0969244
AC005699.1,1.225222
AC005702.1,0
AC005702.2,0.0270859
AC005702.3,0.14026
AC005702.4,0
AC005703.1,0
AC005703.2,0
AC005703.3,0
AC005703.4,0
AC005703.5,0
AC005703.6,0
AC005722.1,0
AC005722.2,0.0211252
AC005722.3,0
AC005725.1,0.107019
AC005726.1,4.135472
AC005726.2,1.066671
AC005726.3,2.27587
AC005726.4,0.343697
AC005726.5,1.27347
AC005730.1,0
AC005730.2,0.0502512
AC005730.3,1.41337
AC005736.1,0.2861006
AC005736.2,0
AC005740.1,0
AC005740.2,0
AC005740.3,1.19993
AC005740.4,0.129766
AC005741.1,0
AC005746.1,1.220215
AC005746.2,0.229863
AC005746.3,0.463811
AC005753.1,0
AC005757.1,0.414536
AC005758.1,0
AC005759.1,0.1619865
AC005771.1,0.0955821
AC005772.1,0
AC005774.1,0
AC005775.1,0.865571
AC005776.1,0.273059
AC005776.2,1.15333
AC005777.1,0
AC005779.1,0
AC005779.2,0.0904591
AC005785.1,3.169508
AC005785.2,0
AC005786.1,0.602348
AC005786.2,0.352259
AC005786.3,0
AC005786.4,0
AC005789.1,0
AC005790.1,0
AC005796.1,0
AC005798.1,0
AC005808.1,0.408044
AC005821.1,0.5766463
AC005822.1,0.0416918
AC005823.1,0.0413476
AC005823.2,0
AC005828.1,0
AC005828.2,0
AC005828.3,0
AC005828.4,0
AC005828.5,0
AC005828.6,0
AC005828.7,0
AC005829.1,0.0275338
AC005829.2,0
AC005831.1,0
AC005832.1,1.41181
AC005832.2,0
AC005832.3,0
